Fields,psych area,key topic,Target population (y/n),number,Title,Authors,Journal,Alert Month,Pulication date,Link,Abstract,
,,,,1,The relationship between contact and attitudes: Reducing prejudice toward individuals with intellectual and developmental disabilities,"Jessica M. Keith, Loisa Bennetto , Ronald D. Rogge",Research in Developmental Disabilities,September,December 2015,http://www.sciencedirect.com/science/article/pii/S0891422215001183,"Increases in intellectual and developmental disability (IDD) diagnoses coupled with higher rates of inclusion in school and community settings, has created more opportunities for exposure and integration between those with IDD and the mainstream population. Previous research has found that increased contact can lead to more positive attitudes toward those with IDD. The current study further investigated this impact of contact on attitudes by examining the influence of the quality and quantity of contact on both explicit and implicit levels of prejudice, while also considering potential mediation via intergroup anxiety and implicit attitudes. Based on past research and theory, we predicted that contact (especially quality contact) would have a strong relationship with explicit and implicit positive attitudes toward individuals with IDD. In the present study, 550 people completed a survey and short task that measured their level of contact with individuals with IDD across their lifetime, their current attitudes toward these individuals, and other constructs that are thought to influence this relationship. Multiple regression analyses suggested consistent links between higher quality of contact and lower levels of prejudice toward individuals with IDD at both the explicit and implicit levels. After controlling for quality of contact, higher quantity of contact was either not significantly associated with our measures of prejudice or was, importantly, associated with higher levels of prejudice. Additional analyses support intergroup anxiety and implicit positive attitudes as significant mediators in the associations between quality of contact and the various dimensions of explicit prejudice. Thus, it would seem that it is the quality of interpersonal interactions that is most strongly related to positive attitudes toward individuals with IDD, making it crucial to take care when developing inclusion opportunities in community settings.",
,,,,2,Ordered questions bias eyewitnesses and jurors,"Robert B. Michael, , Maryanne Garry",Psychonomic Bulletin & Review,September,September 2015,http://link.springer.com/article/10.3758/s13423-015-0933-1,"Eyewitnesses play an important role in the justice system. But suggestive questioning can distort eyewitness memory and confidence, and these distorted beliefs influence jurors (Loftus, Learning & Memory, 12, 361–366, 2005; Penrod & Culter, Psychology, Public Policy, and Law, 1, 817–845,1995). Recent research, however, hints that suggestion is not necessary: Simply changing the order of a set of trivia questions altered people’s beliefs about their accuracy on those questions (Weinstein & Roediger, Memory & Cognition, 38, 366–376, 2010, Memory & Cognition, 40, 727–735,2012). We wondered to what degree eyewitnesses' beliefs—and in turn the jurors who evaluate them—would be affected by this simple change to the order in which they answer questions. Across six experiments, we show that the order of questions matters. Eyewitnesses reported higher accuracy and were more confident about their memory when questions seemed initially easy, than when they seemed initially difficult. Moreover, jurors’ beliefs about eyewitnesses closely matched those of the eyewitnesses themselves. These findings have implications for eyewitness metacognition and for eyewitness questioning procedures.",
,,,,3,Editorial Bias in Crowd-Sourced Political Information,"Joshua L. Kalla, Peter M. Aronow,",PLOS one,September,September 2015,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0136327,"The Internet has dramatically expanded citizens’ access to and ability to engage with political information. On many websites, any user can contribute and edit “crowd-sourced” information about important political figures. One of the most prominent examples of crowd-sourced information on the Internet is Wikipedia, a free and open encyclopedia created and edited entirely by users, and one of the world’s most accessed websites. While previous studies of crowd-sourced information platforms have found them to be accurate, few have considered biases in what kinds of information are included. We report the results of four randomized field experiments that sought to explore what biases exist in the political articles of this collaborative website. By randomly assigning factually true but either positive or negative and cited or uncited information to the Wikipedia pages of U.S. senators, we uncover substantial evidence of an editorial bias toward positivity on Wikipedia: Negative facts are 36% more likely to be removed by Wikipedia editors than positive facts within 12 hours and 29% more likely within 3 days. Although citations substantially increase an edit’s survival time, the editorial bias toward positivity is not eliminated by inclusion of a citation. We replicate this study on the Wikipedia pages of deceased as well as recently retired but living senators and find no evidence of an editorial bias in either. Our results demonstrate that crowd-sourced information is subject to an editorial bias that favors the politically active.",
Technology,,,,4,Visual Dynamics: Probabilistic Future Frame Synthesis via Cross Convolutional Networks,"T Xue, J Wu, KL Bouman, WT Freeman",arXiv,July,July 2016,http://arxiv.org/pdf/1607.02586.pdf,"We study the problem of synthesizing a number of likely future frames from a single input image. In contrast to traditional methods, which have tackled this problem in a deterministic or non-parametric way, we propose a novel approach that models future frames in a probabilistic manner. Our probabilistic model makes it possible for us to sample and synthesize many possible future frames from a single input image. Future frame synthesis is challenging, as it involves low- and high-level image and motion understanding. We propose a novel network structure, namely a Cross Convolutional Network to aid in synthesizing future frames; this network structure encodes image and motion information as feature maps and convolutional kernels, respectively. In experiments, our model performs well on synthetic data, such as 2D shapes and animated game sprites, as well as on realwold videos. We also show that our model can be applied to tasks such as visual analogy-making, and present an analysis of the learned network representations.",
Technology,,,,5,Style-based exploration of illustration datasets,"E Garces, A Agarwala, A Hertzmann, D Gutierrez",Multimedia Tools and Applications,July,July 2016,http://link.springer.com/article/10.1007/s11042-016-3702-x,"Searching by style in illustration data sets is a particular problem in Information Retrieval which has received little attention so far. One of its main problems is that the perception of style is highly subjective, which makes labeling styles a very difficult task. Despite being difficult to predict computationally, certain properties such as colorfulness, line style or shading can be successfully captured by existing style metrics. However, there is little knowledge about how we distinguish between different styles and how these metrics can be used to guide users in style-based interactions. In this paper, we propose several contributions towards a better comprehension of illustration style and its usefulness for data exploration and retrieval. First, we provide new insights about how we perceive style in illustration. Second, we evaluate a handmade style clustering of clip art pieces with an existing style metric to analyze how this metric aligns with expert knowledge. Finally, we propose a method for efficient navigation and exploration of large clip art data sets which takes into account both semantic labeling of the data and its style. Our approach combines hierarchical clustering with dimensionality reduction techniques, and strategic sampling to obtain intuitive visualizations and useful visualizations.",
Psych,,,,6,Gender stereotypes and intellectual performance: Stigma consciousness as a buffer against stereotype validation,"JK Clark, KC Thiem, AE Hoover, MM Habashi",Journal of Experimental Social Psychology,July,July 2016,http://www.sciencedirect.com/science/article/pii/S0022103116300890,"Previous research has found that activating self-relevant, negative stereotypes after a task may increase people's certainty about their own poor performance (i.e., stereotype validation). The current research examined how individual differences in stigma consciousness may moderate these effects. Building from past findings, we hypothesized that high stigma consciousness in women would be associated with lower susceptibility to gender stereotype validation—due to heightened motivation to avoid, reject, and/or react against perceived bias. In two studies, participants completed a difficult test on the subject of business economics. When the gender stereotype about business ability was made salient afterward, no evidence of stereotype validation emerged among women high in stigma consciousness. However, for women with lower stigma consciousness, the data suggest that stereotype activation validated negative views of their own performance and, in turn, had an adverse effect on related attitudes and beliefs about their abilities.",
Psych,,,,7,Does (Non‐) Meaningful Sensori‐Motor Engagement Promote Learning With Animated Physical Systems?,"WTJL Pouw, C Eielts, T Gog, RA Zwaan, F Paas","Mind, Brain, and Education",July,July 2016,http://onlinelibrary.wiley.com/doi/10.1111/mbe.12105/abstract;jsessionid=290AD81CC99A46F83B5980BCFC78CCBA.f01t02?userIsAuthenticated=false&deniedAccessCustomisedMessage=,"Previous research indicates that sensori-motor experience with physical systems can have a positive effect on learning. However, it is not clear whether this effect is caused by mere bodily engagement or the intrinsically meaningful information that such interaction affords in performing the learning task. We investigated (N = 74), through the use of a Wii Balance Board, whether different forms of physical engagement that was either meaningfully, non-meaningfully, or minimally related to the learning content would be beneficial (or detrimental) to learning about the workings of seesaws from instructional animations. The results were inconclusive, indicating that motoric competency on lever problem solving did not significantly differ between conditions, nor were response speed and transfer performance affected. These findings suggest that adult's implicit and explicit knowledge about physical systems is stable and not easily affected by (contradictory) sensori-motor experiences. Implications for embodied learning are discussed.",
Psych,,,,8,"Health goals among American adults: Prevalence, characteristics, and barriers","M Milyavskaya, D Nadolny",Journal of Health Psychology,July,July 2016,http://hpq.sagepub.com/content/early/2016/07/08/1359105316656227.abstract,"Although numerous factors have been demonstrated in laboratory settings to lead to more successful health goal attainment, their actual use in daily goal pursuit is unknown. This study examines spontaneously reported health goals and their characteristics in a sample of 557 American adults. Participants responded to questions about health and health goals, with items assessing motivation, social support, and implementation intentions. In all, 66 percent of respondents had a health goal, 26 percent of participants had implementation intentions, and 47 percent received support from close others. Results suggest that interventions should focus on encouraging goal setting, teaching implementation intentions, and educating close others in providing support.",
Politics,,,,9,"Beliefs about Childhood Vaccination in the United States: Political Ideology, False Consensus, and the Illusion of Uniqueness","M Rabinowitz, L Latella, C Stern, JT Jost",PloS one,July,July 2016,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0158382,"Several contagious diseases were nearly eradicated through childhood vaccination, but some parents have decided in recent years not to fully vaccinate their children, raising new public health concerns. The question of whether and how beliefs about vaccination are linked to political ideology has been hotly debated. This study investigates the effects of ideology on perceptions of harms and benefits related to vaccination as well as judgments of others’ attitudes. A total of 367 U.S. adults (131 men, 236 women; Mage = 34.92 years, range = 18–72) completed an online survey through Mechanical Turk. Results revealed that liberals were significantly more likely to endorse pro-vaccination statements and to regard them as “facts” (rather than “beliefs”), in comparison with moderates and conservatives. Whereas conservatives overestimated the proportion of like-minded others who agreed with them, liberals underestimated the proportion of others who agreed with them. That is, conservatives exhibited the “truly false consensus effect,” whereas liberals exhibited an “illusion of uniqueness” with respect to beliefs about vaccination. Conservative and moderate parents in this sample were less likely than liberals to report having fully vaccinated their children prior to the age of two. A clear limitation of this study is that the sample is not representative of the U.S. population. Nevertheless, a recognition of ideological sources of potential variability in health-related beliefs and perceptions is a prerequisite for the design of effective forms of public communication.",
Psych,,,,10,Searching for the Prosocial Personality A Big Five Approach to Linking Personality and Prosocial Behavior,"MM Habashi, WG Graziano, AE Hoover",Personality and Social Psychology Bulletin,July,July 2016,http://psp.sagepub.com/content/early/2016/06/08/0146167216652859.abstract,"The search for the prosocial personality has been long and controversial. The current research explores the general patterns underlying prosocial decisions, linking personality, emotion, and overt prosocial behavior. Using a multimethod approach, we explored the links between the Big Five dimensions of personality and prosocial responding. Across three studies, we found that agreeableness was the dimension of personality most closely associated with emotional reactions to victims in need of help, and subsequent decisions to help those individuals. Results suggest that prosocial processes, including emotions, cognitions, and behaviors, may be part of a more general motivational process linked to personality.",
